domain,url,status_code,word_count,internal_links,external_links
brewerdentistry.com,https://www.brewerdentistry.com/patient-reviews/,200,439,40,11
brewerdentistry.com,https://www.brewerdentistry.com/tmj-modesto-ca/,200,795,40,11
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg7.jpg,200,3499,0,0
brewerdentistry.com,https://www.brewerdentistry.com/orthodontics-modesto-ca/,200,774,41,11
brewerdentistry.com,https://www.brewerdentistry.com/,200,661,43,13
brewerdentistry.com,https://www.brewerdentistry.com/root-canals-modesto-ca/,200,748,43,11
brewerdentistry.com,https://www.brewerdentistry.com/sedation-dentistry-modesto-ca/,200,852,41,11
brewerdentistry.com,https://www.brewerdentistry.com/crowns-bridges-modesto-ca/,200,834,43,11
brewerdentistry.com,https://www.brewerdentistry.com/first-visit/,200,936,43,11
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg10.jpg,200,3240,0,0
brewerdentistry.com,https://www.brewerdentistry.com/osseous-surgery-modesto-ca/,200,813,41,11
canyonridgeperio.com,https://www.canyonridgeperio.com/faq/,200,410,34,4
brewerdentistry.com,https://www.brewerdentistry.com/periodontal-maintenance-modesto-ca/,200,749,42,11
canyonridgeperio.com,https://www.canyonridgeperio.com/periodontal-disease-information/,200,108,36,4
brewerdentistry.com,https://www.brewerdentistry.com/meet-our-doctors/,200,705,40,11
canyonridgeperio.com,https://www.canyonridgeperio.com/patient-auditimonials/,200,104,31,8
brewerdentistry.com,https://www.brewerdentistry.com/cerec-modesto-ca/,200,713,43,11
canyonridgeperio.com,https://www.canyonridgeperio.com/dental-implants-las-vegas-nv/,200,534,40,7
brewerdentistry.com,https://www.brewerdentistry.com/periodontal-services-modesto-ca/,200,820,48,11
canyonridgeperio.com,https://www.canyonridgeperio.com/patient-center/,200,84,31,5
brewerdentistry.com,https://www.brewerdentistry.com/family-dentistry-modesto-ca/,200,704,48,11
canyonridgeperio.com,https://www.canyonridgeperio.com/women-and-periodontal-health/,200,382,32,4
brewerdentistry.com,https://www.brewerdentistry.com/contact/,200,490,43,11
canyonridgeperio.com,https://www.canyonridgeperio.com/about-periodontal-disease/,200,494,32,4
canyonridgeperio.com,https://www.canyonridgeperio.com/laser-gum-therapy-las-vegas-nv/,200,537,35,5
brewerdentistry.com,https://www.brewerdentistry.com/teeth-whitening-modesto-ca/,200,770,40,11
canyonridgeperio.com,https://www.canyonridgeperio.com/dental-implant-cost-las-vegas-nv/,200,537,39,5
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg2.jpg,200,3048,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/meet-our-periodontist-las-vegas-nv/,200,366,30,4
brewerdentistry.com,https://www.brewerdentistry.com/galileos-cone-beam/,200,699,43,11
canyonridgeperio.com,https://www.canyonridgeperio.com/gum-disease-las-vegas-nv/,200,590,38,6
canyonridgeperio.com,https://www.canyonridgeperio.com/financial-policy/,200,424,32,6
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg3.jpg,200,3560,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/why-choose-a-periodontist-las-vegas-nv/,200,419,44,4
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg9.jpg,200,3504,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/peri-implantitis-las-vegas-nv/,200,548,39,5
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg1.jpg,200,3200,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/smile-gallery/,200,122,31,4
brewerdentistry.com,https://www.brewerdentistry.com/implants-plus/,200,786,44,13
canyonridgeperio.com,https://www.canyonridgeperio.com/full-arch-dental-implants-las-vegas-nv/,200,515,38,8
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg5.jpg,200,3470,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/pre-operative-instructions/,200,426,32,4
brewerdentistry.com,https://www.brewerdentistry.com/laser-dentistry-modesto-ca/,200,714,40,11
canyonridgeperio.com,https://www.canyonridgeperio.com/contact-our-periodontist-las-vegas-nv/,200,153,30,4
advanceddentalquincy.com,https://www.advanceddentalquincy.com/dental-implants-quincy-ma/,200,686,90,4
