domain,post_count,page_count,media_count,category_count,tag_count,has_yoast_seo,has_woocommerce,product_count,product_category_count,scan_date
advanceddentalquincy.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:33:34
ariaperio.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:33:34
berkeleyperioimplants.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:33:34
campcreekdental.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:33:34
canyonridgeperio.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:33:34
berkshireperio.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:33:34
brewerdentistry.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:33:34
bigskysmilesandsedation.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:33:34
bluegrassdentistry.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:33:34
biologicalcenterfordentistry.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:33:34
advanceddentalquincy.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:37:52
berkeleyperioimplants.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:37:52
ariaperio.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:37:52
brewerdentistry.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:37:52
biologicalcenterfordentistry.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:37:52
canyonridgeperio.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:37:52
campcreekdental.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:37:52
berkshireperio.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:37:52
bigskysmilesandsedation.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:37:52
bluegrassdentistry.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:37:52
lexingtonparkdentist.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:42:23
specialistsimplantcenter.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:42:49
redrockperio.com,0,0,0,0,0,0,0,0,0,2025-07-17 14:51:20
