domain,url,found_nap,has_reviews_schema,has_faq_schema
brewerdentistry.com,https://www.brewerdentistry.com/patient-reviews/,"209.312.6572, 209.653.1986",0,0
brewerdentistry.com,https://www.brewerdentistry.com/tmj-modesto-ca/,209.653.1986,0,0
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg7.jpg,Not Found,0,0
brewerdentistry.com,https://www.brewerdentistry.com/orthodontics-modesto-ca/,209.653.1986,0,0
brewerdentistry.com,https://www.brewerdentistry.com/,209.653.1986,0,0
brewerdentistry.com,https://www.brewerdentistry.com/root-canals-modesto-ca/,209.653.1986,0,0
brewerdentistry.com,https://www.brewerdentistry.com/sedation-dentistry-modesto-ca/,209.653.1986,0,0
brewerdentistry.com,https://www.brewerdentistry.com/crowns-bridges-modesto-ca/,209.653.1986,0,0
brewerdentistry.com,https://www.brewerdentistry.com/first-visit/,209.653.1986,0,0
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg10.jpg,Not Found,0,0
brewerdentistry.com,https://www.brewerdentistry.com/osseous-surgery-modesto-ca/,209.653.1986,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/faq/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/periodontal-maintenance-modesto-ca/,209.653.1986,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/periodontal-disease-information/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/meet-our-doctors/,209.653.1986,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/patient-testimonials/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/cerec-modesto-ca/,209.653.1986,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/dental-implants-las-vegas-nv/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/periodontal-services-modesto-ca/,209.653.1986,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/patient-center/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/family-dentistry-modesto-ca/,209.653.1986,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/women-and-periodontal-health/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/contact/,"209.578.0707, 209.653.1986, 209.653-1986",0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/about-periodontal-disease/,"(702) 966-0300, (702) 978-6267",0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/laser-gum-therapy-las-vegas-nv/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/teeth-whitening-modesto-ca/,209.653.1986,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/dental-implant-cost-las-vegas-nv/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg2.jpg,Not Found,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/meet-our-periodontist-las-vegas-nv/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/galileos-cone-beam/,209.653.1986,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/gum-disease-las-vegas-nv/,"(702) 966-0300, (702) 978-6267",0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/financial-policy/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg3.jpg,Not Found,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/why-choose-a-periodontist-las-vegas-nv/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg9.jpg,Not Found,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/peri-implantitis-las-vegas-nv/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg1.jpg,Not Found,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/smile-gallery/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/implants-plus/,209.653.1986,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/full-arch-dental-implants-las-vegas-nv/,"(702) 966-0300, (702) 978-6267",0,0
brewerdentistry.com,https://www.brewerdentistry.com/wp-content/uploads/2016/07/bg5.jpg,Not Found,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/pre-operative-instructions/,"(702) 966-0300, (702) 978-6267, (702) 963-0777",0,0
brewerdentistry.com,https://www.brewerdentistry.com/laser-dentistry-modesto-ca/,209.653.1986,0,0
canyonridgeperio.com,https://www.canyonridgeperio.com/contact-our-periodontist-las-vegas-nv/,"(702) 966-0300, (702) 978-6267",0,0
advanceddentalquincy.com,https://www.advanceddentalquincy.com/dental-implants-quincy-ma/,"617-683-1050, (617) 683-1050, (617) 773-4144",0,0
