domain,url,issue_type,details
canyonridgeperio.com,https://www.canyonridgeperio.com/periodontal-disease-information/,NoIndex Tag,"Page has a 'noindex' meta tag, preventing search engine indexing."
brewerdentistry.com,https://www.brewerdentistry.com/implants-plus/,NoIndex Tag,"Page has a 'noindex' meta tag, preventing search engine indexing."
advanceddentalquincy.com,https://www.advanceddentalquincy.com/dental-patient-testimonials-quincy-ma/,Missing Image Alt,Image missing alt attribute.
advanceddentalquincy.com,https://www.advanceddentalquincy.com/dental-patient-testimonials-quincy-ma/,Missing Image Alt,Image missing alt attribute.
advanceddentalquincy.com,https://www.advanceddentalquincy.com/dental-patient-testimonials-quincy-ma/,Missing Image Alt,Image missing alt attribute.
advanceddentalquincy.com,https://www.advanceddentalquincy.com/dental-patient-testimonials-quincy-ma/,Missing Image Alt,Image missing alt attribute.
advanceddentalquincy.com,https://www.advanceddentalquincy.com/dental-patient-testimonials-quincy-ma/,Missing Image Alt,Image missing alt attribute.
advanceddentalquincy.com,https://www.advanceddentalquincy.com/dental-patient-testimonials-quincy-ma/,Missing Image Alt,Image missing alt attribute.
thewallingforddentist.com,https://thewallingforddentist.com/,Missing Meta Description,Page is missing a meta description.
thewallingforddentist.com,https://thewallingforddentist.com/,Missing H1,Page is missing an H1 tag or it is empty.
thewallingforddentist.com,https://thewallingforddentist.com/,Missing Canonical,Page is missing a canonical link tag.
thewallingforddentist.com,https://thewallingforddentist.com/,Missing Image Alt,Image missing alt attribute.
thewallingforddentist.com,https://thewallingforddentist.com/,Missing Image Alt,Image missing alt attribute.
thewallingforddentist.com,https://thewallingforddentist.com/,Missing Image Alt,Image missing alt attribute.
thewallingforddentist.com,https://thewallingforddentist.com/,Missing Image Alt,Image missing alt attribute.
thewallingforddentist.com,https://thewallingforddentist.com/,Missing Image Alt,Image missing alt attribute.
thewallingforddentist.com,https://thewallingforddentist.com/,Missing Image Alt,Image missing alt attribute.
thewallingforddentist.com,https://thewallingforddentist.com/,Missing Image Alt,Image missing alt attribute.
thewallingforddentist.com,https://thewallingforddentist.com/,Multiple H1 Tags,Page has 2 H1 tags.
perio-implant.com,https://www.perio-implant.com/join-study-club/,Title Length,Title tag length is 4 characters.
perio-implant.com,https://www.perio-implant.com/join-study-club/,Missing Meta Description,Page is missing a meta description.
